Time,PM10,PM2.5
11:00,40.49,23.37
11:01,40.21,23.57
11:02,40.18,22.67
11:03,39.85,22.45
11:04,39.24,23.53
11:05,37.4,20.54
11:06,32.63,19.16
11:07,30.56,17.9
11:08,27.4,18.12
11:09,25.6,16.11
11:10,23.75,15.64
11:11,23.83,15.23
11:12,22.18,14.97
11:13,21.57,14.3
11:14,25.3,15.1
11:15,26.3,13.82
11:16,24.55,13.45
11:17,20.9,11.86
11:18,18.24,10.28
11:19,19.32,10.2
11:20,15.22,9.84
11:21,14.56,9.69
11:22,16.42,10.3
11:23,21.64,10.16
11:24,14.54,8.5
11:25,14.05,9.05
11:26,13.86,7.63
11:27,10.92,7.54
11:28,13.34,8.34
11:29,12.14,7.55
11:30,10.43,6.97
11:31,9.16,6.9
11:32,9.67,7.04
11:33,9.05,6.46
11:34,8.73,6.39
11:35,8.12,6.59
11:36,8.86,6.72
11:37,9.52,6.5
11:38,14.62,6.77
11:39,9.83,6.27
11:40,9.51,6.07
11:41,9.88,6.69
11:42,15.78,7.9
11:43,23.52,7.97
11:44,18.77,7.7
11:45,17.16,8.13
11:46,8.5,5.97
11:47,9.68,6.76
11:48,13.18,6.73
11:49,8.9,5.8
11:50,9.22,6.35
11:51,9.66,6.1
11:52,9.61,6.05
11:53,8.72,6.09
11:54,8.03,5.92
11:55,7.92,5.3
11:56,6.93,5.36
11:57,6.05,5.17
11:58,7.14,5.52
11:59,9.78,5.93
12:00,6.5,5.07
12:01,7.34,5.58
12:02,14.62,7.33
12:03,13.15,6.3
12:04,6.75,5.32
12:05,6.6,5.23
12:06,6.99,5.73
12:07,6.58,5.29
12:08,5.43,4.8
12:09,12.49,6.01
12:10,14.69,5.9
12:11,9.62,5.58
12:12,7.91,5.83
12:13,6.65,5.18
12:14,8.03,5.82
12:15,7.45,5.7
12:16,6.36,5.2
12:17,6.47,4.97
12:18,6.94,5.38
12:19,5.62,4.69
12:20,8.97,5.04
12:21,6.38,5.15
12:22,6.31,5.34
12:23,5.92,4.94
12:24,6.15,5
12:25,6.46,5.33
12:26,6.51,5.14
12:27,24.47,6.52
12:28,13.79,6.75
12:29,6.98,5.1
12:30,7.18,4.9
